order,card,label,age,sex,facing,year,mean_guess,error,abs_error,sq_error,detailed description,jpeg
80,10,Lawson,34,F,R,2016,27.7,-6.3,6.3,39.69,"Actress Bianca Lawson, in 2013",ageguess10
81,1,Chong,21,M,R,2015,25.1,4.1,4.1,16.81,"Eric Chong, Master Chef Canada winner, in April 2014",ageguess01
82,2,Archuleta,64,F,L,2015,52.2,-11.8,11.8,139.24,"Katherine Archuleta, former U.S. OPM Director, in 2013",ageguess02
83,3,Mayfield,28,F,L,2015,26.7,-1.3,1.3,1.69,"Elise Mayfield, Chef, http://elisemayfield.com in 2014",ageguess03
84,4,Love,14,M,L,2015,14.3,0.3,0.3,0.09,"Kevin Love, taken June 2014",ageguess04
85,5,McGinn,54,F,R,2015,49.5,-4.5,4.5,20.25,"Rosemary McGinn, in July 2013",ageguess05
86,6,Chaney,74,M,L,2015,67.7,-6.3,6.3,39.69,"Basketball Coach John Chaney, in 2006",ageguess06
87,7,Storm,44,M,R,2015,47.1,3.1,3.1,9.61,"David Storm, in August 2014",ageguess07
88,8,Glantz,83,F,L,2015,75.6,-7.4,7.4,54.76,"Writer Margo Glantz, in 2013",ageguess08
89,9,Honey,24,M,L,2015,32.8,8.8,8.8,77.44,"Fugitive Quade Ross Honey, in 2012",ageguess09
90,10,Lawson,34,F,R,2015,26.6,-7.4,7.4,54.76,"Actress Bianca Lawson, in 2013",ageguess10
91,1,Chong,21,M,R,2014,26.6,5.6,5.6,31.36,"Eric Chong, Master Chef Canada winner, in April 2014",ageguess01
92,2,Archuleta,64,F,L,2014,53.5,-10.5,10.5,110.25,"Katherine Archuleta, former U.S. OPM Director, in 2013",ageguess02
93,3,Mayfield,28,F,L,2014,27.4,-0.6,0.6,0.36,"Elise Mayfield, Chef, http://elisemayfield.com in 2014",ageguess03
94,4,Love,14,M,L,2014,14.3,0.3,0.3,0.09,"Kevin Love, taken June 2014",ageguess04
95,5,McGinn,54,F,R,2014,53.3,-0.7,0.7,0.49,"Rosemary McGinn, in July 2013",ageguess05
96,6,Chaney,74,M,L,2014,69.9,-4.1,4.1,16.81,"Basketball Coach John Chaney, in 2006",ageguess06
97,7,Storm,44,M,R,2014,46.8,2.8,2.8,7.84,"David Storm, in August 2014",ageguess07
98,8,Glantz,83,F,L,2014,74.7,-8.3,8.3,68.89,"Writer Margo Glantz, in 2013",ageguess08
99,9,Honey,24,M,L,2014,35.1,11.1,11.1,123.21,"Fugitive Quade Ross Honey, in 2012",ageguess09
100,10,Lawson,34,F,R,2014,25.9,-8.1,8.1,65.61,"Actress Bianca Lawson, in 2013",ageguess10
101,1,Chong,21,M,R,2024_AI,21,0,0,0,"Eric Chong, Master Chef Canada winner, in April 2014",ageguess01
102,2,Archuleta,64,F,L,2024_AI,49,-15,15,225,"Katherine Archuleta, former U.S. OPM Director, in 2013",ageguess02
103,3,Mayfield,28,F,L,2024_AI,27,-1,1,1,"Elise Mayfield, Chef, http://elisemayfield.com in 2014",ageguess03
104,4,Love,14,M,L,2024_AI,18,4,4,16,"Kevin Love, taken June 2014",ageguess04
105,5,McGinn,54,F,R,2024_AI,49,-5,5,25,"Rosemary McGinn, in July 2013",ageguess05
106,6,Chaney,74,M,L,2024_AI,66,-8,8,64,"Basketball Coach John Chaney, in 2006",ageguess06
107,7,Storm,44,M,R,2024_AI,34,-10,10,100,"David Storm, in August 2014",ageguess07
108,8,Glantz,83,F,L,2024_AI,68,-15,15,225,"Writer Margo Glantz, in 2013",ageguess08
109,9,Honey,24,M,L,2024_AI,30,6,6,36,"Fugitive Quade Ross Honey, in 2012",ageguess09
110,10,Lawson,34,F,R,2024_AI,28,-6,6,36,"Actress Bianca Lawson, in 2013",ageguess10
